Target;Input01;Input02;Input03;Input04;Input05;Input06;Input07;Input08
847,99;11,28;1059,74;616,00;50,99;58,71;11,74;50,33;2044,22
852,73;11,27;1059,87;617,37;52,71;58,48;11,70;50,64;2070,53
852,40;11,26;1060,40;623,62;52,02;58,18;11,64;50,93;2035,11
854,77;11,26;1060,40;621,87;51,88;57,81;11,56;51,24;2074,60
852,97;11,26;1059,74;621,00;52,33;57,47;11,49;51,54;2081,26
851,67;11,26;1059,47;615,00;49,97;57,08;11,42;51,83;2033,65
850,77;11,26;1059,87;625,37;50,37;56,68;11,34;52,11;2026,27
860,80;11,26;1060,13;623,12;50,98;56,22;11,24;52,40;2021,46
859,66;11,26;1059,74;616,00;52,64;55,75;11,15;52,66;2115,51
849,22;11,26;1060,53;627,62;51,40;55,22;11,04;52,91;2079,13
857,46;11,15;1060,13;624,38;51,24;54,78;10,96;53,07;2076,33
850,28;10,98;1059,60;625,13;51,29;54,44;10,89;53,01;2050,53
855,83;11,25;1059,60;617,37;51,96;54,24;10,85;52,71;2072,78
855,83;11,26;1060,13;621,50;52,75;54,16;10,83;52,24;2068,09
855,42;11,25;1060,53;615,00;53,06;54,17;10,83;51,68;2112,98
855,01;11,31;1059,87;626,00;53,26;54,26;10,85;51,08;2128,01
855,83;11,40;1060,00;619,50;52,44;54,41;10,88;50,48;2076,10
855,01;11,31;1060,00;617,37;54,16;54,60;10,92;50,00;2094,91
854,11;11,26;1060,00;620,63;52,69;54,82;10,96;49,63;2091,88
855,42;11,25;1059,87;619,00;52,48;55,10;11,02;49,34;2060,04
854,77;11,26;1060,27;620,13;49,68;55,38;11,08;49,17;1980,51
854,03;11,26;1060,00;617,50;51,75;55,66;11,13;49,06;2042,52
856,89;11,26;1060,13;627,75;54,75;55,90;11,18;48,98;2116,18
855,09;11,26;1059,74;621,00;54,32;56,07;11,21;48,92;2104,93
857,21;11,26;1060,66;620,37;53,56;56,22;11,24;48,87;2103,00
854,93;11,26;1060,13;618,50;53,89;56,41;11,28;48,84;2076,17
855,91;11,26;1059,34;620,13;53,05;56,63;11,33;48,82;2101,54
855,91;11,26;1059,74;617,37;53,00;56,88;11,38;48,83;2085,09
854,93;11,26;1060,27;625,50;53,29;57,19;11,44;48,86;2063,27
855,01;11,26;1060,13;622,38;52,08;57,47;11,49;48,90;2046,15
860,07;11,26;1059,87;620,00;51,60;57,73;11,55;48,96;2054,87
853,79;11,12;1060,13;622,13;53,05;58,00;11,60;49,06;2091,24
853,70;11,12;1060,40;620,00;52,31;58,27;11,65;49,18;2088,56
854,03;11,25;1059,87;620,63;51,72;58,53;11,71;49,34;2068,56
856,48;11,28;1059,60;621,13;52,03;58,78;11,76;49,54;2063,24
854,19;11,34;1060,40;622,38;53,43;59,00;11,80;49,78;2135,11
854,93;11,27;1059,87;619,12;52,29;59,16;11,83;50,02;2064,26
856,07;11,28;1059,74;623,75;51,72;59,24;11,85;50,30;2038,18
854,36;11,38;1060,00;622,38;52,73;59,22;11,84;50,61;2054,40
863,25;11,31;1060,00;618,25;52,99;59,07;11,81;50,92;2044,50
853,38;11,29;1060,00;619,75;51,24;58,83;11,77;51,23;2043,15
855,42;11,28;1059,60;620,75;51,54;58,50;11,70;51,55;2008,91
860,89;11,27;1060,66;620,37;52,19;58,11;11,62;51,86;2027,89
854,68;11,26;1060,27;624,50;51,96;57,73;11,55;52,14;1993,21
